machine,sequence,BLOCKCHAIN_SUBMITTED,CONFIRMED,CREATED,MQTT_ACKNOWLEDGED,MQTT_SUBMITTED,RECEIVED,VALIDATED,MQTT_FAILED,SECURITY_REJECTED,BLOCKCHAIN_REJECTED,BLOCKCHAIN_FAILED,latency_creation_mqtt_ms,latency_mqtt_ms,latency_mqtt_ack_ms,latency_validation_ms,latency_edge_ms,latency_blockchain_ms,latency_total_ms,final_status
M01,60945,2026-09-10 17:15:55.867520+00:00,2026-09-10 17:15:55.909982+00:00,2026-09-10 17:15:55.163934+00:00,2026-09-10 17:15:55.165964+00:00,2026-09-10 17:15:55.164123+00:00,2026-09-10 17:15:55.844933+00:00,2026-09-10 17:15:55.845305+00:00,,,,,0.189,680.8100000000001,1.841,0.372,22.215,42.462,746.048,CONFIRMED
M01,60946,2026-09-10 17:15:55.930965+00:00,2026-09-10 17:15:55.964550+00:00,2026-09-10 17:15:55.194193+00:00,2026-09-10 17:15:55.195469+00:00,2026-09-10 17:15:55.194312+00:00,2026-09-10 17:15:55.910492+00:00,2026-09-10 17:15:55.910893+00:00,,,,,0.11900000000000001,716.1800000000001,1.157,0.40099999999999997,20.072,33.584999999999994,770.357,CONFIRMED
M01,60947,2026-09-10 17:15:55.986335+00:00,2026-09-10 17:15:56.013519+00:00,2026-09-10 17:15:55.222697+00:00,2026-09-10 17:15:55.223342+00:00,2026-09-10 17:15:55.222847+00:00,2026-09-10 17:15:55.965220+00:00,2026-09-10 17:15:55.965750+00:00,,,,,0.15,742.3729999999999,0.495,0.53,20.585,27.184,790.822,CONFIRMED
M01,60948,2026-09-10 17:15:56.035471+00:00,2026-09-10 17:15:56.168572+00:00,2026-09-10 17:15:55.249877+00:00,2026-09-10 17:15:55.250523+00:00,2026-09-10 17:15:55.249984+00:00,2026-09-10 17:15:56.014443+00:00,2026-09-10 17:15:56.015019+00:00,,,,,0.107,764.459,0.539,0.5760000000000001,20.452,133.101,918.695,CONFIRMED
M01,60949,2026-09-10 17:15:56.206126+00:00,2026-09-10 17:15:56.235927+00:00,2026-09-10 17:15:55.278234+00:00,2026-09-10 17:15:55.282377+00:00,2026-09-10 17:15:55.278401+00:00,2026-09-10 17:15:56.168909+00:00,2026-09-10 17:15:56.169193+00:00,,,,,0.16699999999999998,890.5079999999999,3.9760000000000004,0.28400000000000003,36.933,29.801000000000002,957.693,CONFIRMED
M01,60950,2026-09-10 17:15:56.256550+00:00,2026-09-10 17:15:56.290605+00:00,2026-09-10 17:15:55.309180+00:00,2026-09-10 17:15:55.309774+00:00,2026-09-10 17:15:55.309298+00:00,2026-09-10 17:15:56.236467+00:00,2026-09-10 17:15:56.236781+00:00,,,,,0.118,927.169,0.47600000000000003,0.314,19.769,34.055,981.425,CONFIRMED
M01,60951,2026-09-10 17:15:56.307876+00:00,2026-09-10 17:15:56.336483+00:00,2026-09-10 17:15:55.336141+00:00,2026-09-10 17:15:55.337194+00:00,2026-09-10 17:15:55.336255+00:00,2026-09-10 17:15:56.290954+00:00,2026-09-10 17:15:56.291206+00:00,,,,,0.114,954.699,0.939,0.252,16.67,28.607,1000.3420000000001,CONFIRMED
M01,60952,2026-09-10 17:15:56.355481+00:00,2026-09-10 17:15:56.386619+00:00,2026-09-10 17:15:55.364994+00:00,2026-09-10 17:15:55.366071+00:00,2026-09-10 17:15:55.365141+00:00,2026-09-10 17:15:56.336988+00:00,2026-09-10 17:15:56.337373+00:00,,,,,0.147,971.847,0.93,0.38499999999999995,18.108,31.137999999999998,1021.625,CONFIRMED
M01,60953,2026-09-10 17:15:56.411113+00:00,2026-09-10 17:15:56.440865+00:00,2026-09-10 17:15:55.397934+00:00,2026-09-10 17:15:55.398889+00:00,2026-09-10 17:15:55.398125+00:00,2026-09-10 17:15:56.387193+00:00,2026-09-10 17:15:56.387541+00:00,,,,,0.191,989.068,0.764,0.348,23.572,29.752000000000002,1042.931,CONFIRMED
M01,60954,2026-09-10 17:15:56.465299+00:00,2026-09-10 17:15:56.504148+00:00,2026-09-10 17:15:55.427750+00:00,2026-09-10 17:15:55.428530+00:00,2026-09-10 17:15:55.427948+00:00,2026-09-10 17:15:56.441489+00:00,2026-09-10 17:15:56.441895+00:00,,,,,0.19799999999999998,1013.541,0.5820000000000001,0.406,23.404,38.849000000000004,1076.398,CONFIRMED
M01,60955,2026-09-10 17:15:56.529547+00:00,2026-09-10 17:15:56.562664+00:00,2026-09-10 17:15:55.454882+00:00,2026-09-10 17:15:55.455736+00:00,2026-09-10 17:15:55.454991+00:00,2026-09-10 17:15:56.505510+00:00,2026-09-10 17:15:56.505834+00:00,,,,,0.10900000000000001,1050.519,0.745,0.324,23.713,33.117,1107.7820000000002,CONFIRMED
M01,60956,2026-09-10 17:15:56.585596+00:00,2026-09-10 17:15:56.616569+00:00,2026-09-10 17:15:55.482379+00:00,2026-09-10 17:15:55.486080+00:00,2026-09-10 17:15:55.482520+00:00,2026-09-10 17:15:56.563511+00:00,2026-09-10 17:15:56.564077+00:00,,,,,0.14100000000000001,1080.991,3.5599999999999996,0.566,21.519,30.973,1134.19,CONFIRMED
M01,60957,2026-09-10 17:15:56.637403+00:00,2026-09-10 17:15:56.669440+00:00,2026-09-10 17:15:55.518369+00:00,2026-09-10 17:15:55.519425+00:00,2026-09-10 17:15:55.518521+00:00,2026-09-10 17:15:56.616949+00:00,2026-09-10 17:15:56.617374+00:00,,,,,0.152,1098.4279999999999,0.9039999999999999,0.425,20.029,32.037000000000006,1151.071,CONFIRMED
M01,60958,2026-09-10 17:15:56.688619+00:00,2026-09-10 17:15:56.727180+00:00,2026-09-10 17:15:55.547122+00:00,2026-09-10 17:15:55.547980+00:00,2026-09-10 17:15:55.547291+00:00,2026-09-10 17:15:56.669995+00:00,2026-09-10 17:15:56.670337+00:00,,,,,0.16899999999999998,1122.704,0.6890000000000001,0.342,18.282,38.561,1180.058,CONFIRMED
M01,60959,2026-09-10 17:15:56.752103+00:00,2026-09-10 17:15:56.781168+00:00,2026-09-10 17:15:55.576101+00:00,2026-09-10 17:15:55.576790+00:00,2026-09-10 17:15:55.576232+00:00,2026-09-10 17:15:56.727687+00:00,2026-09-10 17:15:56.728012+00:00,,,,,0.131,1151.455,0.558,0.325,24.091,29.065,1205.067,CONFIRMED
M01,60960,2026-09-10 17:15:56.800386+00:00,2026-09-10 17:15:56.844076+00:00,2026-09-10 17:15:55.603620+00:00,2026-09-10 17:15:55.604193+00:00,2026-09-10 17:15:55.603754+00:00,2026-09-10 17:15:56.781485+00:00,2026-09-10 17:15:56.781733+00:00,,,,,0.134,1177.731,0.439,0.248,18.653,43.69,1240.456,CONFIRMED
M01,60961,2026-09-10 17:15:56.860881+00:00,2026-09-10 17:15:56.891325+00:00,2026-09-10 17:15:55.631314+00:00,2026-09-10 17:15:55.634942+00:00,2026-09-10 17:15:55.631443+00:00,2026-09-10 17:15:56.844410+00:00,2026-09-10 17:15:56.844648+00:00,,,,,0.129,1212.9669999999999,3.499,0.23800000000000002,16.233,30.444,1260.011,CONFIRMED
M01,60962,2026-09-10 17:15:56.920297+00:00,2026-09-10 17:15:56.969563+00:00,2026-09-10 17:15:55.663078+00:00,2026-09-10 17:15:55.664148+00:00,2026-09-10 17:15:55.663293+00:00,2026-09-10 17:15:56.891838+00:00,2026-09-10 17:15:56.892462+00:00,,,,,0.215,1228.545,0.855,0.624,27.834999999999997,49.266,1306.485,CONFIRMED
M01,60963,2026-09-10 17:15:56.985147+00:00,2026-09-10 17:15:57.023163+00:00,2026-09-10 17:15:55.691431+00:00,2026-09-10 17:15:55.692315+00:00,2026-09-10 17:15:55.691601+00:00,2026-09-10 17:15:56.969993+00:00,2026-09-10 17:15:56.970245+00:00,,,,,0.17,1278.392,0.714,0.252,14.902000000000001,38.016,1331.7320000000002,CONFIRMED
