machine,sequence,BLOCKCHAIN_SUBMITTED,CONFIRMED,CREATED,MQTT_ACKNOWLEDGED,MQTT_SUBMITTED,RECEIVED,VALIDATED,MQTT_FAILED,SECURITY_REJECTED,BLOCKCHAIN_REJECTED,BLOCKCHAIN_FAILED,latency_creation_mqtt_ms,latency_mqtt_ms,latency_mqtt_ack_ms,latency_validation_ms,latency_edge_ms,latency_blockchain_ms,latency_total_ms,final_status
M01,57588,2026-09-10 17:04:29.473421+00:00,2026-09-10 17:04:29.499132+00:00,2026-09-10 17:04:29.454330+00:00,2026-09-10 17:04:29.455816+00:00,2026-09-10 17:04:29.454612+00:00,2026-09-10 17:04:29.455838+00:00,2026-09-10 17:04:29.456447+00:00,,,,,0.28200000000000003,1.2260000000000002,1.204,0.609,16.974,25.711000000000002,44.802,CONFIRMED
M01,57589,2026-09-10 17:04:29.581591+00:00,2026-09-10 17:04:29.606491+00:00,2026-09-10 17:04:29.560860+00:00,2026-09-10 17:04:29.562249+00:00,2026-09-10 17:04:29.561221+00:00,2026-09-10 17:04:29.562338+00:00,2026-09-10 17:04:29.563373+00:00,,,,,0.361,1.117,1.028,1.035,18.218,24.9,45.631,CONFIRMED
M01,57590,2026-09-10 17:04:29.686909+00:00,2026-09-10 17:04:29.715522+00:00,2026-09-10 17:04:29.666416+00:00,2026-09-10 17:04:29.669612+00:00,2026-09-10 17:04:29.666742+00:00,2026-09-10 17:04:29.668647+00:00,2026-09-10 17:04:29.669555+00:00,,,,,0.326,1.905,2.87,0.9079999999999999,17.354000000000003,28.613,49.105999999999995,CONFIRMED
M01,57591,2026-09-10 17:04:29.797358+00:00,2026-09-10 17:04:29.820466+00:00,2026-09-10 17:04:29.773000+00:00,2026-09-10 17:04:29.776884+00:00,2026-09-10 17:04:29.773204+00:00,2026-09-10 17:04:29.774172+00:00,2026-09-10 17:04:29.774683+00:00,,,,,0.204,0.968,3.68,0.5109999999999999,22.675,23.108,47.466,CONFIRMED
M01,57592,2026-09-10 17:04:29.907609+00:00,2026-09-10 17:04:29.933894+00:00,2026-09-10 17:04:29.886796+00:00,2026-09-10 17:04:29.888236+00:00,2026-09-10 17:04:29.887068+00:00,2026-09-10 17:04:29.889042+00:00,2026-09-10 17:04:29.889875+00:00,,,,,0.272,1.974,1.168,0.833,17.733999999999998,26.285,47.098,CONFIRMED
M01,57593,2026-09-10 17:04:30.018378+00:00,2026-09-10 17:04:30.046303+00:00,2026-09-10 17:04:29.990551+00:00,2026-09-10 17:04:29.993582+00:00,2026-09-10 17:04:29.990753+00:00,2026-09-10 17:04:29.991665+00:00,2026-09-10 17:04:29.992063+00:00,,,,,0.202,0.912,2.8289999999999997,0.398,26.315,27.924999999999997,55.752,CONFIRMED
M01,57594,2026-09-10 17:04:30.116781+00:00,2026-09-10 17:04:30.140665+00:00,2026-09-10 17:04:30.096583+00:00,2026-09-10 17:04:30.097884+00:00,2026-09-10 17:04:30.096900+00:00,2026-09-10 17:04:30.097934+00:00,2026-09-10 17:04:30.098556+00:00,,,,,0.317,1.034,0.9840000000000001,0.622,18.225,23.884,44.082,CONFIRMED
M01,57595,2026-09-10 17:04:30.224436+00:00,2026-09-10 17:04:30.251048+00:00,2026-09-10 17:04:30.200681+00:00,2026-09-10 17:04:30.202967+00:00,2026-09-10 17:04:30.201266+00:00,2026-09-10 17:04:30.202950+00:00,2026-09-10 17:04:30.203637+00:00,,,,,0.585,1.684,1.701,0.687,20.799000000000003,26.612000000000002,50.367000000000004,CONFIRMED
M01,57596,2026-09-10 17:04:30.332800+00:00,2026-09-10 17:04:30.358750+00:00,2026-09-10 17:04:30.310083+00:00,2026-09-10 17:04:30.314837+00:00,2026-09-10 17:04:30.310274+00:00,2026-09-10 17:04:30.311123+00:00,2026-09-10 17:04:30.311534+00:00,,,,,0.191,0.8490000000000001,4.563000000000001,0.41100000000000003,21.266000000000002,25.95,48.667,CONFIRMED
M01,57597,2026-09-10 17:04:30.438032+00:00,2026-09-10 17:04:30.462594+00:00,2026-09-10 17:04:30.418825+00:00,2026-09-10 17:04:30.422282+00:00,2026-09-10 17:04:30.419194+00:00,2026-09-10 17:04:30.420573+00:00,2026-09-10 17:04:30.421315+00:00,,,,,0.36900000000000005,1.379,3.088,0.742,16.717,24.562,43.769000000000005,CONFIRMED
